kabupaten_kota,periode,tahun,bulan,risiko_label,status_panen_raw,prob_aman_pct,prob_waspada_pct,prob_kritis_pct,faktor_dominan_bahasa,diagnosis_masalah,kategori_aksi,urgensi,batas_waktu,rekomendasi_card,detail_action_plan,langkah_aksi_utama,aktor_tindak_lanjut,output_diharapkan,indikator_pemicu,sifat_hujan,status_hth,status_kat,rasio_hujan_lag2,max_hth_lag2,rasio_kat_lag2,probabilitas_risiko_historis,FAKTOR_DOMINAN,skor_prioritas_aksi
BOJONEGORO,Mei 2026,2026,5,Waspada,⚠️ WASPADA,5.2,94.8,0.0,Ketersediaan air tanah rendah,Kondisi relatif terkendali; tetap perlu monitoring rutin,Pemantauan ketersediaan air,Tinggi,3–7 hari,Cek ketersediaan air tanah dan saluran irigasi; pastikan wilayah tidak memasuki kondisi defisit air.,KAT cenderung rendah sehingga perlu dipantau agar tidak berkembang menjadi tekanan air yang lebih serius pada lahan sawah.,"1) Pantau rasio KAT dan tren HTH.
2) Cek kondisi sumber air di wilayah prioritas.
3) Koordinasikan pemantauan irigasi dengan penyuluh.
4) Update rekomendasi jika KAT terus turun.","Dinas Kab/Kota, Penyuluh/BPP, pengelola irigasi",Status ketersediaan air wilayah,Sifat hujan: Normal; HTH: 2.1 hari (Pendek); Rasio KAT: 0.58 (Rendah); Prob. Waspada: 94.8%; Prob. Kritis: 0.0%,Normal,Pendek,Rendah,1.0501570179725723,2.0771065595022025,0.5772779081138601,0.3452380952380952,total_hujan_lag2,3.95
SUMENEP,Mei 2026,2026,5,Waspada,⚠️ WASPADA,6.7,93.3,0.0,Ketersediaan air tanah sangat rendah,Potensi tekanan air/kekeringan,Antisipasi kekeringan/defisit air,Tinggi,3–7 hari,"Prioritaskan pengecekan ketersediaan air, saluran irigasi, dan lahan rawan kering; validasi kondisi lapangan bersama penyuluh.","Indikator menunjukkan potensi tekanan air. Wilayah perlu dipantau untuk memastikan sawah tidak mengalami defisit air, terutama pada area tadah hujan atau area dengan akses irigasi terbatas.","1) Cek sumber air dan kondisi saluran irigasi.
2) Identifikasi area sawah rawan kering bersama penyuluh.
3) Koordinasikan distribusi air/pompanisasi bila diperlukan.
4) Update status wilayah setelah validasi lapangan.","Dinas Kab/Kota, Penyuluh/BPP, pengelola irigasi",Daftar lahan rawan kering dan status ketersediaan air,Sifat hujan: Normal; HTH: 9.6 hari (Sedang); Rasio KAT: 0.30 (Sangat Rendah); Prob. Waspada: 93.3%; Prob. Kritis: 0.0%,Normal,Sedang,Sangat Rendah,1.0340567832760323,9.584530903142886,0.295695219039853,0.2619047619047619,total_hujan_lag2,3.93
TUBAN,Mei 2026,2026,5,Waspada,⚠️ WASPADA,11.4,88.6,0.1,Sensitivitas historis wilayah,Wilayah sensitif berdasarkan pola historis produksi/luas panen,Validasi kerentanan historis,Tinggi,3–7 hari,"Validasi penyebab kerentanan historis: pola tanam, produktivitas, input budidaya, kesuburan lahan, dan kondisi lapangan.","Risiko terutama didorong oleh sensitivitas historis wilayah. Ini berarti wilayah memiliki riwayat kerentanan produksi/luas panen, sehingga perlu pengecekan faktor non-iklim yang belum tertangkap model.","1) Bandingkan tren produksi dan luas panen historis.
2) Cek pola tanam, intensitas tanam, dan input budidaya.
3) Minta masukan penyuluh terkait kondisi lahan.
4) Tetapkan apakah wilayah perlu masuk daftar prioritas monitoring.","Dinas Kab/Kota, Penyuluh/BPP, analis tanaman pangan",Catatan penyebab kerentanan historis dan rekomendasi tindak lanjut,Sifat hujan: Normal; HTH: 3.1 hari (Pendek); Rasio KAT: 0.55 (Rendah); Prob. Waspada: 88.6%; Prob. Kritis: 0.1%,Normal,Pendek,Rendah,1.1043603378484503,3.0770523283725395,0.552664517062516,0.4761904761904761,probabilitas_risiko_historis,3.89
BANGKALAN,Mei 2026,2026,5,Waspada,⚠️ WASPADA,13.1,86.8,0.1,Tekanan iklim relatif normal,Kondisi relatif terkendali; tetap perlu monitoring rutin,Monitoring rutin,Tinggi,3–7 hari,Lakukan pemantauan rutin dan validasi lapangan jika indikator risiko memburuk.,Pantau perkembangan indikator iklim dan kondisi lahan. Pastikan informasi wilayah tetap diperbarui untuk mendukung prioritas monitoring berikutnya.,"1) Pantau perubahan skor risiko.
2) Cek indikator hujan, HTH, dan KAT.
3) Validasi lapangan bila tren memburuk.","Dinas Kab/Kota, Penyuluh/BPP",Catatan monitoring berkala,Sifat hujan: Normal; HTH: 4.6 hari (Pendek); Rasio KAT: 0.71 (Agak Rendah); Prob. Waspada: 86.8%; Prob. Kritis: 0.1%,Normal,Pendek,Agak Rendah,1.0760798981350397,4.577510620988882,0.7063474324975055,0.3214285714285714,total_hujan_lag2,3.87
BLITAR,Mei 2026,2026,5,Waspada,⚠️ WASPADA,17.1,82.8,0.0,Sensitivitas historis wilayah,Wilayah sensitif berdasarkan pola historis produksi/luas panen,Validasi kerentanan historis,Tinggi,3–7 hari,"Validasi penyebab kerentanan historis: pola tanam, produktivitas, input budidaya, kesuburan lahan, dan kondisi lapangan.","Risiko terutama didorong oleh sensitivitas historis wilayah. Ini berarti wilayah memiliki riwayat kerentanan produksi/luas panen, sehingga perlu pengecekan faktor non-iklim yang belum tertangkap model.","1) Bandingkan tren produksi dan luas panen historis.
2) Cek pola tanam, intensitas tanam, dan input budidaya.
3) Minta masukan penyuluh terkait kondisi lahan.
4) Tetapkan apakah wilayah perlu masuk daftar prioritas monitoring.","Dinas Kab/Kota, Penyuluh/BPP, analis tanaman pangan",Catatan penyebab kerentanan historis dan rekomendasi tindak lanjut,Sifat hujan: Normal; HTH: 3.5 hari (Pendek); Rasio KAT: 0.58 (Rendah); Prob. Waspada: 82.8%; Prob. Kritis: 0.0%,Normal,Pendek,Rendah,0.9263027877385124,3.4737561334404368,0.5760636300094583,0.3571428571428571,probabilitas_risiko_historis,3.83
SAMPANG,Mei 2026,2026,5,Waspada,⚠️ WASPADA,17.5,82.5,0.0,Tekanan iklim relatif normal,Kondisi relatif terkendali; tetap perlu monitoring rutin,Monitoring rutin,Tinggi,3–7 hari,Lakukan pemantauan rutin dan validasi lapangan jika indikator risiko memburuk.,Pantau perkembangan indikator iklim dan kondisi lahan. Pastikan informasi wilayah tetap diperbarui untuk mendukung prioritas monitoring berikutnya.,"1) Pantau perubahan skor risiko.
2) Cek indikator hujan, HTH, dan KAT.
3) Validasi lapangan bila tren memburuk.","Dinas Kab/Kota, Penyuluh/BPP",Catatan monitoring berkala,Sifat hujan: Normal; HTH: 5.7 hari (Pendek); Rasio KAT: 0.68 (Agak Rendah); Prob. Waspada: 82.5%; Prob. Kritis: 0.0%,Normal,Pendek,Agak Rendah,0.9800930421157816,5.748637129547029,0.6761359170238526,0.2261904761904762,total_hujan_lag2,3.82
SITUBONDO,Mei 2026,2026,5,Waspada,⚠️ WASPADA,18.5,81.4,0.0,Curah hujan atas normal,Potensi kelebihan air/genangan dan peningkatan kelembapan,Antisipasi hujan tinggi/genangan,Tinggi,3–7 hari,"Pantau potensi genangan, bersihkan drainase, dan tingkatkan pengamatan OPT/penyakit akibat kelembapan tinggi.","Curah hujan di atas normal dapat meningkatkan risiko genangan, kerusakan lahan, serta kelembapan yang mendukung penyakit tanaman. Tindakan awal perlu difokuskan pada drainase dan monitoring lapangan.","1) Cek saluran drainase dan titik rawan genangan.
2) Validasi area sawah yang tergenang/berdrainase buruk.
3) Tingkatkan pengamatan OPT/penyakit terkait kelembapan.
4) Koordinasikan tindakan cepat bila genangan meluas.","Dinas Kab/Kota, Penyuluh/BPP, POPT, pengelola drainase",Daftar titik rawan genangan dan status pengendalian OPT,Sifat hujan: Atas Normal; HTH: 9.3 hari (Sedang); Rasio KAT: 0.53 (Rendah); Prob. Waspada: 81.4%; Prob. Kritis: 0.0%,Atas Normal,Sedang,Rendah,1.352989037602033,9.262439233628823,0.5346701776878805,0.2619047619047619,probabilitas_risiko_historis,3.81
PROBOLINGGO,Mei 2026,2026,5,Waspada,⚠️ WASPADA,20.0,80.0,0.0,Curah hujan atas normal,Potensi kelebihan air/genangan dan peningkatan kelembapan,Antisipasi hujan tinggi/genangan,Tinggi,3–7 hari,"Pantau potensi genangan, bersihkan drainase, dan tingkatkan pengamatan OPT/penyakit akibat kelembapan tinggi.","Curah hujan di atas normal dapat meningkatkan risiko genangan, kerusakan lahan, serta kelembapan yang mendukung penyakit tanaman. Tindakan awal perlu difokuskan pada drainase dan monitoring lapangan.","1) Cek saluran drainase dan titik rawan genangan.
2) Validasi area sawah yang tergenang/berdrainase buruk.
3) Tingkatkan pengamatan OPT/penyakit terkait kelembapan.
4) Koordinasikan tindakan cepat bila genangan meluas.","Dinas Kab/Kota, Penyuluh/BPP, POPT, pengelola drainase",Daftar titik rawan genangan dan status pengendalian OPT,Sifat hujan: Atas Normal; HTH: 9.0 hari (Sedang); Rasio KAT: 0.69 (Agak Rendah); Prob. Waspada: 80.0%; Prob. Kritis: 0.0%,Atas Normal,Sedang,Agak Rendah,1.6057166811188084,8.97622875647606,0.6934195129683663,0.2738095238095238,probabilitas_risiko_historis,3.8
LAMONGAN,Mei 2026,2026,5,Waspada,⚠️ WASPADA,28.6,71.4,0.0,Ketersediaan air tanah rendah,Kondisi relatif terkendali; tetap perlu monitoring rutin,Pemantauan ketersediaan air,Sedang,≤7 hari,Cek ketersediaan air tanah dan saluran irigasi; pastikan wilayah tidak memasuki kondisi defisit air.,KAT cenderung rendah sehingga perlu dipantau agar tidak berkembang menjadi tekanan air yang lebih serius pada lahan sawah.,"1) Pantau rasio KAT dan tren HTH.
2) Cek kondisi sumber air di wilayah prioritas.
3) Koordinasikan pemantauan irigasi dengan penyuluh.
4) Update rekomendasi jika KAT terus turun.","Dinas Kab/Kota, Penyuluh/BPP, pengelola irigasi",Status ketersediaan air wilayah,Sifat hujan: Normal; HTH: 3.2 hari (Pendek); Rasio KAT: 0.52 (Rendah); Prob. Waspada: 71.4%; Prob. Kritis: 0.0%,Normal,Pendek,Rendah,1.1379321291341395,3.2203552568410934,0.5154868792131979,0.3333333333333333,total_hujan_lag2,2.71
SIDOARJO,Mei 2026,2026,5,Waspada,⚠️ WASPADA,41.9,57.4,0.7,Tekanan iklim relatif normal,Kondisi relatif terkendali; tetap perlu monitoring rutin,Monitoring rutin,Sedang,≤7 hari,Lakukan pemantauan rutin dan validasi lapangan jika indikator risiko memburuk.,Pantau perkembangan indikator iklim dan kondisi lahan. Pastikan informasi wilayah tetap diperbarui untuk mendukung prioritas monitoring berikutnya.,"1) Pantau perubahan skor risiko.
2) Cek indikator hujan, HTH, dan KAT.
3) Validasi lapangan bila tren memburuk.","Dinas Kab/Kota, Penyuluh/BPP",Catatan monitoring berkala,Sifat hujan: Normal; HTH: 2.7 hari (Pendek); Rasio KAT: 0.83 (Mendekati Normal); Prob. Waspada: 57.4%; Prob. Kritis: 0.7%,Normal,Pendek,Mendekati Normal,1.051488208877115,2.7346300022356367,0.834431627890748,0.238095238095238,total_hujan_lag2,2.61
